,index,ZMZW_normalized,MFX_normlized,var,lag
1,L1.ZMZW_normalized,0.62,-0.3,L1,ZMZW_normalized
2,L1.MFX_normlized,0.35,-0.08,L1,MFX_normlized
3,L2.ZMZW_normalized,-0.16,-0.47,L2,ZMZW_normalized
4,L2.MFX_normlized,0.43,-0.49,L2,MFX_normlized
5,L3.ZMZW_normalized,0.3,1.13,L3,ZMZW_normalized
6,L3.MFX_normlized,0.18,-0.28,L3,MFX_normlized
7,L4.ZMZW_normalized,-0.08,-1.43,L4,ZMZW_normalized
8,L4.MFX_normlized,-0.05,-0.29,L4,MFX_normlized
9,L5.ZMZW_normalized,-0.47,0.87,L5,ZMZW_normalized
10,L5.MFX_normlized,-0.08,-0.01,L5,MFX_normlized
11,L6.ZMZW_normalized,-0.02,-1.04,L6,ZMZW_normalized
12,L6.MFX_normlized,0.22,0.02,L6,MFX_normlized
13,L7.ZMZW_normalized,0.3,0.15,L7,ZMZW_normalized
14,L7.MFX_normlized,0.34,0.16,L7,MFX_normlized
15,L8.ZMZW_normalized,0.15,-0.89,L8,ZMZW_normalized
16,L8.MFX_normlized,0.02,0.43,L8,MFX_normlized
17,L9.ZMZW_normalized,-0.18,1.57,L9,ZMZW_normalized
18,L9.MFX_normlized,0.16,0.38,L9,MFX_normlized
19,L10.ZMZW_normalized,0.02,-3.24,L10,ZMZW_normalized
20,L10.MFX_normlized,-0.0,-0.19,L10,MFX_normlized
21,L11.ZMZW_normalized,-0.47,2.58,L11,ZMZW_normalized
22,L11.MFX_normlized,-0.04,1.11,L11,MFX_normlized
23,L12.ZMZW_normalized,0.42,-0.95,L12,ZMZW_normalized
24,L12.MFX_normlized,-0.0,0.01,L12,MFX_normlized
25,L13.ZMZW_normalized,0.19,-0.39,L13,ZMZW_normalized
26,L13.MFX_normlized,-0.04,0.12,L13,MFX_normlized
27,L14.ZMZW_normalized,0.05,0.72,L14,ZMZW_normalized
28,L14.MFX_normlized,-0.05,-0.03,L14,MFX_normlized
29,L15.ZMZW_normalized,-0.36,-0.91,L15,ZMZW_normalized
30,L15.MFX_normlized,-0.05,0.09,L15,MFX_normlized
